CAMPUSID,CAMPUSNAME,PROVIDERID,ProviderName,ADDRESSSTREET,ADDRESSSTATE,StateId,ADDRESSCITY,CityId,ADDRESSPOSTCODE,CAMPUSNEARESTCITY,CountryCode,ADDRESSCOUNTRYCODE,ONCAMPUSACCOMMODATION,URLCAMPUSINFO,CAMPUSNOTE,ADDRESSGEOCODE,PROVIDERCRICOSCODE
SN_L_0001,Mount Gravatt Campus,SN_P_0025,Griffith College,"Level 5, International Building M14, 176 Messines Ridge Road",Queensland,,Mount Gravatt,,4122,Brisbane,,Australia,YES,https://www.griffithcollege.edu.au/contact/,"Located on the edge of Toohey Forest with panoramic views of Brisbane, Mount Gravatt campus is the original site of Griffith College, opened in 1997. Adjacent to Griffith Nathan campus with panoramic views of Brisbane, Mount Gravatt has more than 4,000 students and offers degrees in criminology and criminal justice, education and psychology.","-27.541269, 153.062744",01737F
SN_L_0002,Footscray Nicholson Campus,SN_P_0011,Victoria University,Corner of Nicholson and Buckley Streets,Victoria,,Footscray,,3011,Melbourne,,Australia,YES,https://www.vu.edu.au/campuses/footscray-nicholson,"Footscray Nicholson Campus is a few minutes' walk from the Footscray train station.

This relaxed and friendly campus has an emphasis on TAFE courses, run through VU Polytechnic.

It's easy to find your way around - there is a brand new learning commons with a library and study spaces.","-37.8026694, 144.8883848",00124K
SN_L_0003,Footscray Park Campus,SN_P_0011,Victoria University,70-104 Ballarat Road,Victoria,,Footscray,,3011,Melbourne,,Australia,YES,https://www.vu.edu.au/campuses/footscray-nicholson,"Footscray Nicholson Campus is a few minutes' walk from the Footscray train station.

This relaxed and friendly campus has an emphasis on TAFE courses, run through VU Polytechnic.

It's easy to find your way around - there is a brand new learning commons with a library and study spaces.","-37.793751, 144.898590",00124K
SN_L_0004,St Albans Campus,SN_P_0011,Victoria University,McKechnie Street,Victoria,,St Albans,,3021,Melbourne,,Australia,YES,https://www.vu.edu.au/campuses/footscray-nicholson,"Footscray Nicholson Campus is a few minutes' walk from the Footscray train station.

This relaxed and friendly campus has an emphasis on TAFE courses, run through VU Polytechnic.

It's easy to find your way around - there is a brand new learning commons with a library and study spaces.","-37.7442458, 144.7990287",00124K
SN_L_0005,Werribee Campus,SN_P_0011,Victoria University,235 Hoppers Lane,Victoria,,Werribee,,3030,Melbourne,,Australia,YES,https://www.vu.edu.au/campuses/footscray-nicholson,"Footscray Nicholson Campus is a few minutes' walk from the Footscray train station.

This relaxed and friendly campus has an emphasis on TAFE courses, run through VU Polytechnic.

It's easy to find your way around - there is a brand new learning commons with a library and study spaces.","-37.8914116, 144.7008623",00124K
SN_L_0006,Bedford Park,SN_P_0007,Flinders University,Sturt Road,South Australia,,Bedford Park,,5042,Adelaide,,Australia,YES,https://www.flinders.edu.au/campus/bedford-park,"Located just 12km south of the centre of Adelaide, the Bedford Park campus is Flinders' main campus. It's a spacious, elevated site with panoramic views to the coast and over the city. Our Student Hub offers 24/7 study spaces and access to all student services in one convenient location.","-35.0163714, 138.5750733",00114A
SN_L_0007,SIBT Sydney campus,SN_P_0024,Sydney Institute of Business and Technology (SIBT),"Level 4, 255 Elizabeth Street",New South Wales,,Sydney,,2000,Sydney,,Australia,NO,https://www.sibt.nsw.edu.au/sibt-sydney-campus,"SIBT Sydney campus offers the convenience of being located in the heart of Sydney's central business district. It's located directly across from Hyde Park and just minutes from shopping centres, services, cafe's, and more. Plus, you're within walking distance of iconic destinations like the Sydney Opera House and Harbour Bridge, as well as all modes of transport, meaning you have easy and full access to all the best our city has to offer.

International airports near Sydney, Australia:
11 km: Sydney, Australia (SYD / YSSY) Sydney Kingsford Smith Airport.","-33.8757242, 151.209197",01576G
SN_L_0008,Perth campus,SN_P_0012,Murdoch University,90 South Street,Western Australia,,Murdoch,,6150,Perth,,Australia,YES,https://www.murdoch.edu.au/life-at-murdoch/perth-campus,"Our Perth campus is set in a beautiful bush environment and covers over 227 hectares, making it one of the largest campuses in Australia. Perth campus is located on South Street in Murdoch, close to the Kwinana Freeway and Fiona Stanley Hospital.","-32.064110, 115.829971",00125J
SN_L_0009,Mandurah campus,SN_P_0012,Murdoch University,Education Drive,Western Australia,,Mandurah,,6210,Perth,,Australia,YES,https://www.murdoch.edu.au/life-at-murdoch/perth-campus,"Our Perth campus is set in a beautiful bush environment and covers over 227 hectares, making it one of the largest campuses in Australia. Perth campus is located on South Street in Murdoch, close to the Kwinana Freeway and Fiona Stanley Hospital.","-32.515491, 115.755219",00125J
SN_L_0010,Eynesbury Franklin Street,SN_P_0018,Eynesbury College,15-19 Franklin Street,South Australia,,Adelaide,,5000,Adelaide,,Australia,YES,https://www.eynesbury.edu.au/about/campus,"Eynesbury has two campuses, both located in the center of Adelaide city, near the Chinatown and Central Market precinct. while our Franklin Street campus is for our Senior High School.","-34.927589, 138.598404",00561M
